,Ref to signal ratio,Pulse type,Amplitude,Phase,Q,P,Bob's quadrature,Bob's quadrature value,alpha,T_eff,Rotated Q,Rotated P,Ultimate state,Alice bits,Linear difference
58,-,signal,0.3265431841527176,-2.6927620644492753,-0.29420076018305985,-0.1416910859027671,Q,-0.2360824932373541,0.08989982754709594,0.8004744443412853,-0.2243664592075061,-0.13410499260718847,-0.2243664592075061,011000110100,0.011716034029848
59,-,signal,0.3265431841527176,2.0196269159354143,-0.14169108590276708,0.2942007601830599,Q,-0.1392850411322834,0.08989982754709594,0.8004744443412853,-0.13410499260718847,0.22436645920750614,-0.13410499260718847,011011101101,0.005180048525094932
60,2,ref,1.0,0.0,1.0,0.0,Q,0.7952372217122092,0.08705024284366857,0.7982598168640754,0.7952372217122092,0.0694009828699411,-,-,-
61,4,ref,1.0,0.0,1.0,0.0,P,0.0694009828699411,0.08705024284366857,0.7982598168640754,0.7952372217122092,0.0694009828699411,-,-,-
62,-,signal,0.3265431841527176,-2.6927620644492753,-0.29420076018305985,-0.1416910859027671,Q,-0.2188868244554263,0.08705024284366857,0.7982598168640754,-0.22412589452803516,-0.13309584741249067,-0.22412589452803516,011000110101,-0.005239070072608876
63,-,signal,0.3265431841527176,2.0196269159354143,-0.14169108590276708,0.2942007601830599,Q,-0.1363874032940944,0.08705024284366857,0.7982598168640754,-0.13309584741249064,0.22412589452803522,-0.13309584741249064,011011101111,0.0032915558816037638
64,-,signal,0.3265431841527176,-2.6927620644492753,-0.29420076018305985,-0.1416910859027671,Q,-0.2375844991085271,0.08705024284366857,0.7982598168640754,-0.22412589452803516,-0.13309584741249067,-0.22412589452803516,011000110101,0.013458604580491945
65,-,signal,0.3265431841527176,2.0196269159354143,-0.14169108590276708,0.2942007601830599,Q,-0.1388755923240157,0.08705024284366857,0.7982598168640754,-0.13309584741249064,0.22412589452803522,-0.13309584741249064,011011101111,0.005779744911525053
66,2,ref,1.0,0.0,1.0,0.0,Q,0.7974575734195122,0.07906553178495472,0.7999566790312173,0.7974575734195121,0.0631831221333464,-,-,-
67,4,ref,1.0,0.0,1.0,0.0,P,0.0631831221333464,0.07906553178495472,0.7999566790312173,0.7974575734195121,0.0631831221333464,-,-,-
68,-,signal,0.3265431841527176,-2.6927620644492753,-0.29420076018305985,-0.1416910859027671,Q,-0.2210062527753906,0.07906553178495472,0.7999566790312173,-0.2256601391279577,-0.1315811521015659,-0.2256601391279577,011000110010,-0.00465388635256711
69,-,signal,0.3265431841527176,2.0196269159354143,-0.14169108590276708,0.2942007601830599,Q,-0.1369543324188976,0.07906553178495472,0.7999566790312173,-0.13158115210156587,0.22566013912795777,-0.13158115210156587,011011110010,0.005373180317331722
70,-,signal,0.3265431841527176,-2.6927620644492753,-0.29420076018305985,-0.1416910859027671,Q,-0.2361312529726563,0.07906553178495472,0.7999566790312173,-0.2256601391279577,-0.1315811521015659,-0.2256601391279577,011000110010,0.010471113844698593
71,-,signal,0.3265431841527176,2.0196269159354143,-0.14169108590276708,0.2942007601830599,Q,-0.1381826788889763,0.07906553178495472,0.7999566790312173,-0.13158115210156587,0.22566013912795777,-0.13158115210156587,011011110010,0.006601526787410439
72,2,ref,1.0,0.0,1.0,0.0,Q,0.7942557628684209,0.08456071915592389,0.7971039169607772,0.7942557628684209,0.0673233806676129,-,-,-
73,4,ref,1.0,0.0,1.0,0.0,P,0.0673233806676129,0.08456071915592389,0.7971039169607772,0.7942557628684209,0.0673233806676129,-,-,-
74,-,signal,0.3265431841527176,-2.6927620644492753,-0.29420076018305985,-0.1416910859027671,Q,-0.2202875027851562,0.08456071915592389,0.7971039169607772,-0.22413152630222613,-0.13234555129586248,-0.22413152630222613,011000110101,-0.0038440235170699444
75,-,signal,0.3265431841527176,2.0196269159354143,-0.14169108590276708,0.2942007601830599,Q,-0.1361354347677165,0.08456071915592389,0.7971039169607772,-0.13234555129586245,0.22413152630222619,-0.13234555129586245,011011110001,0.0037898834718540497
76,-,signal,0.3265431841527176,-2.6927620644492753,-0.29420076018305985,-0.1416910859027671,Q,-0.2355375029667969,0.08456071915592389,0.7971039169607772,-0.22413152630222613,-0.13234555129586248,-0.22413152630222613,011000110101,0.011405976664570772
77,-,signal,0.3265431841527176,2.0196269159354143,-0.14169108590276708,0.2942007601830599,Q,-0.1382456710330708,0.08456071915592389,0.7971039169607772,-0.13234555129586245,0.22413152630222619,-0.13234555129586245,011011110001,0.005900119737208359
78,2,ref,1.0,0.0,1.0,0.0,Q,0.7993680047361784,0.07959060259812939,0.8019065685769967,0.7993680047361784,0.0637568641875882,-,-,-
79,4,ref,1.0,0.0,1.0,0.0,P,0.0637568641875882,0.07959060259812939,0.8019065685769967,0.7993680047361784,0.0637568641875882,-,-,-
80,-,signal,0.3265431841527176,-2.6927620644492753,-0.29420076018305985,-0.1416910859027671,Q,-0.2198645942217899,0.07959060259812939,0.8019065685769967,-0.22614089533890488,-0.13202063853787396,-0.22614089533890488,011000110001,-0.006276301117114996
81,-,signal,0.3265431841527176,2.0196269159354143,-0.14169108590276708,0.2942007601830599,Q,-0.1360078448388235,0.07959060259812939,0.8019065685769967,-0.13202063853787394,0.2261408953389049,-0.13202063853787394,011011110001,0.003987206300949564
82,-,signal,0.3265431841527176,-2.6927620644492753,-0.29420076018305985,-0.1416910859027671,Q,-0.2356466955914397,0.07959060259812939,0.8019065685769967,-0.22614089533890488,-0.13202063853787396,-0.22614089533890488,011000110001,0.009505800252534807
83,-,signal,0.3265431841527176,2.0196269159354143,-0.14169108590276708,0.2942007601830599,Q,-0.1382352958662745,0.07959060259812939,0.8019065685769967,-0.13202063853787394,0.2261408953389049,-0.13202063853787394,011011110001,0.006214657328400569
84,2,ref,1.0,0.0,1.0,0.0,Q,0.7954505960836574,0.08679192252393865,0.7984560286364233,0.7954505960836573,0.0692125628481059,-,-,-
85,4,ref,1.0,0.0,1.0,0.0,P,0.0692125628481059,0.08679192252393865,0.7984560286364233,0.7954505960836573,0.0692125628481059,-,-,-
86,-,signal,0.3265431841527176,-2.6927620644492753,-0.29420076018305985,-0.1416910859027671,Q,-0.2220124541731518,0.08679192252393865,0.7984560286364233,-0.22421536686781846,-0.13307064734522736,-0.22421536686781846,011000110101,-0.002202912694666659
87,-,signal,0.3265431841527176,2.0196269159354143,-0.14169108590276708,0.2942007601830599,Q,-0.1374897654976377,0.08679192252393865,0.7984560286364233,-0.13307064734522733,0.22421536686781848,-0.13307064734522733,011011101111,0.004419118152410362
88,-,signal,0.3265431841527176,-2.6927620644492753,-0.29420076018305985,-0.1416910859027671,Q,-0.236922960192607,0.08679192252393865,0.7984560286364233,-0.22421536686781846,-0.13307064734522736,-0.22421536686781846,011000110101,0.012707593324788546
89,-,signal,0.3265431841527176,2.0196269159354143,-0.14169108590276708,0.2942007601830599,Q,-0.1377417340027558,0.08679192252393865,0.7984560286364233,-0.13307064734522733,0.22421536686781848,-0.13307064734522733,011011101111,0.004671086657528467
90,2,ref,1.0,0.0,1.0,0.0,Q,0.7930046635290696,0.08586455357529485,0.7959369721111332,0.7930046635290696,0.0682588250308039,-,-,-
91,4,ref,1.0,0.0,1.0,0.0,P,0.0682588250308039,0.08586455357529485,0.7959369721111332,0.7930046635290696,0.0682588250308039,-,-,-
92,-,signal,0.3265431841527176,-2.6927620644492753,-0.29420076018305985,-0.1416910859027671,Q,-0.2206542663643411,0.08586455357529485,0.7959369721111332,-0.22363090779790226,-0.1324434901146573,-0.22363090779790226,011000110110,-0.0029766414335611613
93,-,signal,0.3265431841527176,2.0196269159354143,-0.14169108590276708,0.2942007601830599,Q,-0.138141178197647,0.08586455357529485,0.7959369721111332,-0.13244349011465728,0.22363090779790235,-0.13244349011465728,011011110000,0.0056976880829897325
94,-,signal,0.3265431841527176,-2.6927620644492753,-0.29420076018305985,-0.1416910859027671,Q,-0.2362201580213178,0.08586455357529485,0.7959369721111332,-0.22363090779790226,-0.1324434901146573,-0.22363090779790226,011000110110,0.012589250223415532
95,-,signal,0.3265431841527176,2.0196269159354143,-0.14169108590276708,0.2942007601830599,Q,-0.139458825305098,0.08586455357529485,0.7959369721111332,-0.13244349011465728,0.22363090779790235,-0.13244349011465728,011011110000,0.00701533519044073
96,2,ref,1.0,0.0,1.0,0.0,Q,0.7965990368282926,0.0901686154340451,0.7998483696850871,0.7965990368282926,0.0720235309612647,-,-,-
97,4,ref,1.0,0.0,1.0,0.0,P,0.0720235309612647,0.0901686154340451,0.7998483696850871,0.7965990368282926,0.0720235309612647,-,-,-
98,-,signal,0.3265431841527176,-2.6927620644492753,-0.29420076018305985,-0.1416910859027671,Q,-0.2217250027988281,0.0901686154340451,0.7998483696850871,-0.22415494988352377,-0.13406036011717137,-0.22415494988352377,011000110101,-0.0024299470846956828
99,-,signal,0.3265431841527176,2.0196269159354143,-0.14169108590276708,0.2942007601830599,Q,-0.1364156879992156,0.0901686154340451,0.7998483696850871,-0.13406036011717135,0.22415494988352383,-0.13406036011717135,011011101101,0.0023553278820442614
