,Bob's values,Alice's values,Bob's bits,Alice's bits,Hamming distance
65,0.1388755923240157,0.01849872968035031,100100011100,100000100101,5
66,0.7974575734195122,-,111001100000,-,-
67,0.0631831221333464,-,100010000001,-,-
68,0.2210062527753906,0.212758567320117,100111000100,100110110011,6
69,0.1369543324188976,0.01685701031875586,100100011000,100000100010,5
70,0.2361312529726563,0.212758567320117,100111100011,100110110011,2
71,0.1381826788889763,0.01685701031875586,100100011010,100000100010,4
72,0.7942557628684209,-,111001011001,-,-
73,0.0673233806676129,-,100010001001,-,-
74,0.2202875027851562,0.21129970222863637,100111000010,100110110000,4
75,0.1361354347677165,0.017910364586738715,100100010110,100000100100,4
76,0.2355375029667969,0.21129970222863637,100111100010,100110110000,3
77,0.1382456710330708,0.017910364586738715,100100011010,100000100100,6
78,0.7993680047361784,-,111001100100,-,-
79,0.0637568641875882,-,100010000010,-,-
80,0.2198645942217899,0.21252469219071282,100111000010,100110110011,4
81,0.1360078448388235,0.016950775933275205,100100010110,100000100010,4
82,0.2356466955914397,0.21252469219071282,100111100010,100110110011,3
83,0.1382352958662745,0.016950775933275205,100100011010,100000100010,4
84,0.7954505960836574,-,111001011100,-,-
85,0.0692125628481059,-,100010001101,-,-
86,0.2220124541731518,0.21285909685059287,100111000110,100110110011,5
87,0.1374897654976377,0.018520978790005544,100100011001,100000100101,5
88,0.236922960192607,0.21285909685059287,100111100100,100110110011,5
89,0.1377417340027558,0.018520978790005544,100100011001,100000100101,5
90,0.7930046635290696,-,111001010111,-,-
91,0.0682588250308039,-,100010001011,-,-
92,0.2206542663643411,0.21198767607297314,100111000011,100110110001,4
93,0.138141178197647,0.018247092804418722,100100011010,100000100101,7
94,0.2362201580213178,0.21198767607297314,100111100011,100110110001,3
95,0.139458825305098,0.018247092804418722,100100011101,100000100101,4
96,0.7965990368282926,-,111001011110,-,-
97,0.0720235309612647,-,100010010011,-,-
98,0.2217250027988281,0.2136791760665057,100111000101,100110110101,3
99,0.1364156879992156,0.01931954225613856,100100010111,100000100111,3
100,0.2382562530058594,0.2136791760665057,100111100111,100110110101,3
101,0.1396156880482352,0.01931954225613856,100100011101,100000100111,5
102,0.7942778009330745,-,111001011001,-,-
103,0.0745040251454465,-,100010011000,-,-
104,0.2187751000466926,0.21163856133339143,100110111111,100110110001,3
105,0.1375527576362204,0.01985190153470962,100100011001,100000101000,4
106,0.2356778239824903,0.21163856133339143,100111100010,100110110001,4
107,0.1407023640055118,0.01985190153470962,100100100000,100000101000,2
108,0.7945208700896685,-,111001011010,-,-
109,0.0770476954441609,-,100010011101,-,-
110,0.2203500027949219,0.21284059102938832,100111000011,100110110011,3
111,0.1389070883712597,0.02063995755572378,100100011100,100000101010,5
112,0.2366937529746094,0.21284059102938832,100111100100,100110110011,5
113,0.1405763797374015,0.02063995755572378,100100011111,100000101010,5
114,0.7922758610281281,-,111001010101,-,-
115,0.0833705321665618,-,100010101010,-,-
116,0.2194287965389105,0.21198752861287282,100111000001,100110110001,3
117,0.1386866159303149,0.022307271926970854,100100011011,100000101101,5
118,0.2369229602003891,0.21198752861287282,100111100100,100110110001,4
119,0.1407023639940944,0.022307271926970854,100100100000,100000101101,4
120,0.7896248184835271,-,111001010000,-,-
121,0.0880074600754563,-,100010110100,-,-
122,0.2192279097286822,0.21088703493883945,100111000000,100110101111,6
123,0.1382771670992125,0.023504367990174083,100100011011,100000110000,5
124,0.2356000029651163,0.21088703493883945,100111100010,100110101111,4
125,0.1417417340921259,0.023504367990174083,100100100010,100000110000,3
126,0.7882518641296296,-,111001001101,-,-
127,0.0910327148518217,-,100010111010,-,-
128,0.2198187527753906,0.21159274864991667,100111000001,100110110001,3
129,0.1394274527407843,0.02443617735535525,100100011101,100000110010,6
130,0.2373187529921875,0.21159274864991667,100111100101,100110110001,3
131,0.1420000018109803,0.02443617735535525,100100100010,100000110010,2
132,0.7858191155224171,-,111001001000,-,-
